wwwDrugKing,Drugs/Prescription,OC40 Oxycontin 40mg Pill,All buyers must finalize before postage. Bitcoins are too unstable currently and my worldwide group of vendors have agreed that it is not in our best interest to use escrow. We had a choice  either i ...,0.026154681,UK,World,5.0/5,
wwwDrugKing,Drugs/Cannabis/Edibles,Strawberry Cannabis THC Lollipop,All buyers must finalize before postage. Bitcoins are too unstable currently and my worldwide group of vendors have agreed that it is not in our best interest to use escrow. We had a choice  either i ...,0.00527648,Japan,World,5.0/5,
wwwDrugKing,Drugs/Cannabis/Edibles,THC Cannabis Sour Berry Gummies,All buyers must finalize before postage. Bitcoins are too unstable currently and my worldwide group of vendors have agreed that it is not in our best interest to use escrow. We had a choice  either i ...,0.00211059,UK,World,5.0/5,
PillfirePharmacy,Drugs/Opioids,Suboxone 8/2mg strips-US PHARM FRESH  NAME BRAND& GREAT SERVICE-TRUSTED SELLER/PRE-ORDER,THIS LISTING IS FOR PRE-ORDERING THE US MADE  BRAND NAME SUBOXONE 8/2mg STRIPS WE SELL THAT WILL BE IN ANY DAY NOW.  I'M GETTING TONS OF PM'S ASKING ME WHEN I'M LISTING MORE.  FOR EVERYONE WHO PRE-OR ...,0.03826353,USA,USA,5.0/5,
PillfirePharmacy,Drugs/Opioids,Morphine IR 20 mg (Sevredol brand)-PERFECT FOR IV/SNORTING-NO GEL/CRUSHABLE-Trusted Seller,This is Sevredol brand Morphine IR 20mg pink pills. They dissolve in water fine  and don't have that aweful wax that gunks up syringes. They also don't have that hard material in them that makes them ...,0.01653361,USA,USA,5.0/5,
FattusCatteratus,Drugs/Other,EXPRESS SHIPPING OPTION FOR YOUR ORDER,***IF YOU ARE A NEW BUYER WITH ZERO FEEDBACK YOU ARE NOT ELIGIBLE FOR EXPRESS SHIPPING***  If you want your goodies shipped Express  buy this listing and choose the combined shipping option. FE you ...,0.09620262,USA,,5.0/5,
beige4you,Drugs/Opioids,1g SE Asian #4 Stright from the golden triangle!,*****PGP ONLY.**** ****FE ONLY.*****   We are highly respected opiate vendors from SR.  Many of you will know who we are. Those of you who will be new to buy  will quickly come to love us.  We ...,0.56428985,,,5.0/5,
beige4you,Drugs/Opioids,1g Raw Uncut East Coast #4,*****PGP ONLY.**** ****FE ONLY.*****   We are highly respected opiate vendors from SR.  Many of you will know who we are. Those of you who will be new to buy  will quickly come to love us.  We ...,0.3448438,,,5.0/5,
Heisenberg-meds,Drugs/Opioids,Morphine 10mg/tab  5 tabs - $22,Morhpine sulphate  slow/controlled release. But they are crushable  just make sure it becomes a very fine powder.  10 mg/tab  5 tabs,0.03918679,Denmark,Europe,5.0/5,
Organix2,Drugs/Psychedelics/Salvia,Salvia Divinorum 6 gm Psychedelic,FE required on all orders.  Only $12 for 6gm. This offer may end at any time so get it while you can.  Most of us are familiar with salvia divinorum or have heard of it at least. It is a psychede ...,0.027018724,USA,USA,5.0/5,
