Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
710HookUp,Drugs/Cannabis/Concentrates,7g Dewaxed XJ-13 Snap n Pull,7g of Dewaxed XJ-13   All fat and lipids have been removed for your medical enjoyment!  *Photo will be added soon!*,0.36117073,USA,,4.95/5,
710superstore,Drugs/Cannabis/Concentrates,Girl Scout Cookies BHO Wax *14 Gram*,Girl Scout Cookies BHO Wax *14 Gram*  Girl Scout Cookies  or GSC  is an OG Kush and Durban Poison hybrid cross whose reputation grew too large to stay within the borders of its California homeland. ...,2.497426459,USA,,~5/5,
accept,Drugs/Cannabis/Concentrates,CANNABIS / BHO / WAX / OIL / SHATTER: 3g. 2-4 DAY MAIL,CANNABIS / BHO / WAX / OIL / SHATTER: 3g  Current Strain: California Blackberry Kush Pull & Snap Wax  AAA WAX - appearance will differ from picture. If wax is sticky  put it in freezer for 1 minu ...,0.486514602,USA,USA,4.97/5,
AfriKanSun,Drugs/Cannabis/Concentrates,Swazi Kief 10g,Swazi Kief ~  A dry sifted tichomes from a variety of Swazi strain....  Ideal to mix in with your smoke of choice  can also be used in edible recipes.,0.270289664,SouthAfrica,,4.83/5,
alchemycd,Drugs/Cannabis/Concentrates,MA-CHMACA    100g,"Synonyms	•	AMB N-methylcyclohexyl analog •	AB-CHMINACA •	MAB-AB-CHMINACA Formal Name	methyl (1-(cyclohexylmethyl)-1H-indazole-3-carbonyl)-L-valinate  Molecular Formula	C21H29N3O3 Formula Weight ...",365.8168484,China,,4.86/5,Average price may be skewed outliar > .5 BTC found
androgenie,Drugs/Cannabis/Concentrates,Weed Cannabis Disposable Vapor Pen (High CBD) THC - 87.9% - Hybrid Strain - Co2 Extracted,Hybrid Strain (High CBD) THC - 87.9% CBD - 3.20% TCC (Total Cannabinoid Content) - 93.9%   -C02 Extraction for 100% Pure Cannabis... Naturally.  -Discrete and easy to use  -No charging or f ...,0.27385743,USA,USA,4.88/5,
arctic,Drugs/Cannabis/Concentrates,High Quality Wax | 1 Oz,This listing is for 1 oz of high quality BHO  purged and potent.   Price is $550/oz with free shipping and full escrow.  **************  * Message me with any questions/concerns. All messages  ...,2.146116407,USA,,4.99/5,
bcdirect,Drugs/Cannabis/Concentrates,1 Gram Budder 99.6 % THC Concentrate***Free Shipping Worldwide!***,1 Gram Budder 99.6 % THC Concentrate  There's nothing better than Budder!  This budder is made from sugar leaf from all of our AAA indoor varities. It is 99.6 pure THC  meaning that one gram woul ...,0.206136617,Canada,,4.860/5,
Big_Boy,Drugs/Cannabis/Concentrates,7 Grams of High Quality Crumble/Wax BHO (Querkle),This listing is for 7 grams of High Quality Crumble/Wax BHO purged on a closed loop system. The current strain of this batch is Querkle.,0.870126988,USA,,5.00/5,
Bisto,Drugs/Cannabis/Concentrates,Copy of Bar of 420 chocolate 10 strong hits,This is for a 55g+ bar of Chocolate and believe me one chunk is a nice hit. Great tasting chocolate with an amazing taste of bud.  We are giving this a push as the product is amazing. Edibles are ...,0.23006108,UK,UK,4.935/5,
