Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
CheapPayTV,Services/Hacking,12 Month HuluPlus gift Code,12-Month HuluPlus Codes for $25. They are worth $95. They will be sent to you within 1 day. Most within a hour or two,0.05027025666666667 BTC,Torland,,4.96/5,
CheapPayTV,Services/Hacking,Pay TV Sky UK  Sky Germany HD TV  and much more.. CCcam Service 12 Months,Hi we offer a World Wide CCcam  Service for Enigma 2 devices! 12 Months 75$   Following Satellites are available: SKY UK Sky Germany HD   Sky italia HD  Cyfra HD  Nova HD  Polsat HD  Euros ...,0.152419585 BTC,Torland,,4.96/5,
KryptykOG,Services/Hacking,OFFICIAL Account Creator Extreme 4.2,Tagged Submission Fix Bebo Submission Fix Adjustments To Inbox.com Submission Linkedin Now Saves Email Fixed Typo Fixed Task Manager Form Issue  Features- Automatically Creates Accounts On 20 ...,0.007000000000000005 BTC,Torland,,4.93/5,
cyberzen,Services/Hacking,VPN > TOR > SOCK TUTORIAL,How to setup a VPN > TOR > SOCK super safe encrypted connection.,0.019016783532494728 BTC,,,4.89/5,
businessdude,Services/Hacking,Facebook hacking guide,.  This guide will teach you how to hack Facebook accounts of (your ex/friends/foe etc.) in a fast way! with practically useful methods. Perfect for those new to this field. Straight forward and to ...,0.062018073963963936 BTC,Torland,,4.88/5,
Hackyboy,Services/Hacking,DDOS ATTACK SERVICE,New service available : Take down all websites you want : Skype accounts  Minecraft servers  xbox game servers... and many more... (not biggest websites like Facebook  Google  ... you understand why. ...,0.030109432452830192 BTC,Torland,,4.92/5,
businessdude,Services/Hacking,ATM HACKING TUTORIAL,Step by Step guide and Manuals to hack ATMs    Gain access to Tranax and Triton Atm`s in seconds. This is a very simple process.  These Atm`s can be found all over the world in Arcades/Malls  Gen ...,0.03317625980769233 BTC,,,4.88/5,
CheapPayTV,Services/Hacking,CALL/SMS verification service!,Need to register an account with sms verification? need sms or phone verification for something else? Contact me!  No physical products needed no burner sim no burner phone! The standard listing  ...,0.012616985714285715 BTC,Torland,,4.96/5,
toysoldiers,Services/Hacking,Mac & windows address changer,- Comes with complete database to randomly choose from.  - change device ID individually and complete Mac ID.   - user friendly interface.  - A must for all Mac users supports on all Mac OS.   ...,0.009335870999999999 BTC,Torland,,4.94/5,
cyberzen,Services/Hacking,WiFi Hacking,-Hacking WEP/WPA/WPA2  the glory of WPS -Hacking WPA Wifi Password In BackTrack -Crack Wireless PASSWORDS with Net Tool's 5  I do not support or encourage any illegal activity. The info & items y ...,0.027091319209809266 BTC,,,4.89/5,
CheapPayTV,Services/Hacking,PayTV via Internet. HD IPTV Box+ 12 month subscription,Ready to go HD IPTV Box. a 12 month subscription of PayTV is included. After the 12 Month you have to buy a new subscription 12 Month: 180$ 6 Month: 100$ 1 Month: 20$  Folowing channels are in ...,0.9631782333333335 BTC,Torland,,4.96/5,
passman,Services/Hacking,How To Setup a Botnet Guide,How To Setup a Botnet Guide,0.06685161562500003 BTC,,,4.946/5,
brulz8,Services/Hacking,Proxy Software + login 250 proxies for 30 days 39$,With this listings i will provide you software + username and logincode wich you can use for 30 days or 250 diffrent proxies within the 30 days.  vendors thread http://i25c62nvu4cgeqyz.onion/viewt ...,0.09184289935483873 BTC,World,,5.00/5,
starlight,Services/Hacking,Credit Card Info with CVV/CVV2,I will provide you with credit card information on one account holder including:  Number Type Expiry Date CVV/CVV2 Name Address  Specify a country you want (very likely) the card to be from  ...,0.06070560181318679 BTC,Internet,,4.88/5,
CheapPayTV,Services/Hacking,Pay TV Sky UK  Sky Germany HD TV  and much more..CCcam Service 1 Day Test Account,Hi we offer a World Wide CCcam  Service for Enigma 2 devices! 1 Day Trial 2 5$   Following Satellites are available: SKY UK Sky Germany HD   Sky italia HD  Cyfra HD  Nova HD  Polsat HD  Eu ...,0.0044475525 BTC,Torland,,4.96/5,
CheapPayTV,Services/Hacking,Looking for Pay TV ( IPTV CCcam) Reseller,Hi   we are lokking for Reseller for our CCca  amd IP TV Service. We can Provide this service in every Contry. If you need a second annonymous income please Contact us!!!  Following Satellites  ...,1e-06 BTC,Torland,,4.96/5,
passman,Services/Hacking,150+ Hacking Ebooks Collection,As it says in the title 150+ ebooks collection on hacking. Perfectly suitable for beginners as well as advanced hackers.  These are some of the titles included in the collection:  A Beginners Gu ...,0.031019998515625022 BTC,,,4.946/5,
keydemon,Services/Hacking,MASTERKEY X-TREME-AUS,MASTERKEY EXTREME-TO OPEN MAILBOXES/LETTERBOXES/FILING CABINETS/LOCKERS/DESK DRAWERS & DISPLAY CASES-SUNGLASSES WATCHES JEWELLERY..   THIS SWEET LITTLE PIECE OF HARDWARE  WILL OPEN MOST SINGLE/DOU ...,0.14601129777777777 BTC,Australia,AUSTRALIA,5.00/5,
CheapPayTV,Services/Hacking,Ready to run HD Receiver for PayTV.. 12 Month´s included,You will get a HD Receiver with 12 Month Pay TV included. You can choose your PayTV. After 12 Month´s it will cost you 85€ a year..  You need a Satelite Antenna and Internet.,0.6434593633333333 BTC,Torland,,4.96/5,
cyberzen,Services/Hacking,All Silk Road's and Agora's Money Making Methods & Guides,This will include all of my and other Silk Road's and Agora's vendors methods.  With this listing you get all the Money Making methods that you can see on SR  for unbeatable price.  Over 50 guide ...,0.15973443198511175 BTC,,,4.89/5,
cyberzen,Services/Hacking,Cookies  Flash Cookies  Paypal  eBay Cleaner - Just one click,A software to clean your browser from unwanted cookies  flash cookies  from paypal  ebay etc. A must have tool  just click and your browser will be clean...,0.013322217030411438 BTC,,,4.89/5,
passman,Services/Hacking,ANONYMITY TESTING SERVICE,ANONYMITY TESTING SERVICE,0.016132880080645152 BTC,,,4.946/5,
cyberzen,Services/Hacking,BYPASS ANY SMS PHONE VERIFICATION EASY WITHOUT SIM CARD,BYPASS ANY SMS PHONE VERIFICATION EASY WITHOUT SIM CARD.,0.011546898071278814 BTC,,,4.89/5,
cyberzen,Services/Hacking,Learn How to Be 100% Anonymous,Be completely anonymous  leave no traces. This is a must for some people as it covers all you need to stay anonymous on the internet and live free. This is the best and only guide you will ever need.,0.015843487066115707 BTC,,,4.89/5,
KryptykOG,Services/Hacking,Carding CC + PAYPAL Tutorial,Best carding tutorial for beginners,0.016000000000000007 BTC,Internet,,4.93/5,
cyberzen,Services/Hacking,How I Make $25 in 10 Minutes A Day,How I Make $25 in 10 Minutes A Day with Referrals  100% working and unsaturated. Noob friendly. Easy work. 10 minutes max a day.  100% legal (whitehat) as my other methods.,0.027330650261096618 BTC,,,4.89/5,
businessdude,Services/Hacking,Easy PayPal/CVV cashout guide,Everybody wants to know how to cash out. Well  that is easy  the hard part is getting away with it. Any fucking moron can rob a bank  but it takes a genius to do it time and time again while leaving  ...,0.016385806198347102 BTC,,,4.88/5,
cyberzen,Services/Hacking,A MAC ADDRESS CHANGER SOFTWARE FOR MAC OS,CHANGE YOUR MAC ADRESS BECAUSE MANY OF THE SITES WILL IDENTIFY YOUR COMPUTER WITH YOUR MAC ADRESS.  SO THIS IS ONE OF THE BEST SOFTWARE YOU NEED:  MAC ADRESS CHANGER FOR MAC OS SOFTWARE  SET UP   ...,0.008993971932938851 BTC,,,4.89/5,
CheapPayTV,Services/Hacking,Netflix Account ..,Selling NetFlix accounts!  Price per 1 account  comes with 1 month warranty!  FAQ: Are they cracked accounts? - Yes  they are cracked  so you are sharing this account with original owner too.  ...,0.006621300000000001 BTC,Torland,,4.96/5,
livinglarge,Services/Other,custom 2nd hotel+flight,penthouse suite las vegas + 5 roundtrips,6.895965219913043 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
namedeclined,Services/Other,♔ Express Processing - Your Order Processed 1st ♔,This listing is designed to be bough along with any of my other items. This gets your order process first before all the others. This can be used on both physical ship items and digital items. I proc ...,0.13610980024096386 BTC,USA,Worldwide,4.47/5,
Rambe,Services/Other,SSN from United States of America,SSN from United States of America  What you will receive  SSN Firstname Gender Lastname Address(street city state zip)   If you have more question send me a message,0.022164539000000004 BTC,,,4.58/5,
RastainPeace,Services/Other,KEYCHAIN STEALTH JACKNIFE,An exquisitely crafted jackknife with 5 picks that effortlessly fold away.    Contains 5 picks of mixed hook and rake picks. Tensor included as well     Great piece for lockpickers and thi ...,0.25991088814814817 BTC,EU,,4.94/5,
optiman,Services/Other,Instagram Followers - The easy way to get famous,Does your friend has more followers then you? have you ever posted a photo and got a small amount of likes or comments ? Do you want to become popular?  Do you want all of your friends and family  ...,0.048202381603773575 BTC,Internet,Instagram,5.00/5,
cyberzen,Services/Other,Insider's Forex Trading Signals (Make Thousands of $$$'s DAILY  from my 20 yr Daytrader),Trading Signals from my Professional Broker from one of my Binary Options networks....  I had to deposit $10 000 in order to start receiving these signals from them!  This guy has made me thousan ...,2.569571838605444 BTC,,,4.89/5,Average price may be skewed outliar > .5 BTC found
shopstungun,Services/Other,pass PTT T10  F10 et Q10 french postman,je vend pour 20euros piece frais de port compris les clés pass partout de postiers :   Passes PTT T10 F10 Q10   Envoi rapide  livraison (3 à 4 jours ouvrés)  T10 (immeuble) : Debloque les po ...,0.07835669316666667 BTC,France,,3~5 deals,
Aracay,Services/Other,Any Vehicle Ownership Information - (Spain Only),1. You give us any Spanish vehicle registration number. 2. We obtain full information about: Current Registered Owner Of The Vehicle Home/Business Address Of Registered Owner  Email Address (If A ...,0.2170974995454545 BTC,Torland,,~5/5,
sexyhomer,Services/Other,500 High Quality Real Facebook Likes!just 4 dollar!,VIA PM - WILL ARRIVE WITHIN 24-48 hours !!,0.010293339714285712 BTC,,,~5/5,
sexyhomer,Services/Other,50000 facebook likes!,ID from different nationalities  if you want more  please purchase more  I am currently supports up to 100000 ID.  VIA PM - WILL ARRIVE WITHIN 24-48 hours !!,0.8205866628571429 BTC,,,~5/5,
HellMaker,Services/Other,Semi-clean PayPal transfers up to $9999,I am offering Semi-clean PayPal transfers up to $9999  This auctions is for $3k transferred to any PayPal account you will provide  I will make a transfer 2-5 days max  It will cost you 35% fro ...,2.3085868612499993 BTC,,,4.43/5,Average price may be skewed outliar > .5 BTC found
HellMaker,Services/Other,I will teach how to thief stuff -  INDIVIDUAL TRAINING,I will teach how to thief stuff - 100% WORKING INFO - this individual training   This is great guide how to card anything you want (>$1000) and you will grow your stuff price after some time and p ...,6.444885268043479 BTC,Internet,,4.43/5,Average price may be skewed outliar > .5 BTC found
