first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Eddie,McGee,bbus1,united_states,regular,,,,1,2000,21,twenties,pisces,male,white,no,,,entertainer,entertainment,no,yes,commack,ny,1,,8,,,,,,no,no,,1,sports,being disabled doesnt mean that you cant live a rewarding life,,,strange_brew,,,,,,basketball,,,,,,,,,,,,sub,,,,,,,,teaching_children_about_disability
Josh,Souza,bbus1,united_states,regular,,,,1,2000,23,twenties,pisces,male,white,no,,,civil_engineering_student,student,no,no,san_jose,ca,1,,6,,,,,,no,no,,2,sports,,,,love_affair,,,,,,basketball,,,,,,,,,,,,burger,,,,,,,,
Curtis,Kin,bbus1,united_states,regular,,,,1,2000,28,twenties,sagittarius,male,asian,no,,,lawyer,law,no,no,new_york_city,ny,1,,5,,,,,,no,no,,3,exercising,,,,the_princess_bride,,,classic_music,,,running,,,,,,,,,,,,burger,,,,,,,,
Jamie_Marie,Kern,bbus1,united_states,regular,,,,1,2000,22,twenties,cancer,female,white,no,,,model,fashion,no,no,seattle,wa,1,,7,,,,,,no,no,,4,pageants,carpe diem,oprah,,dead_poets_society,,,,,,dancing,,,,,,,,,,,,nachos,,,,,,,,
George,Boswell,bbus1,united_states,regular,,,,1,2000,41,fourties,libra,male,white,no,,,roofer,construction,no,no,rockford,il,1,,9,,,,,,no,no,,5,volunteering,,,,the_blues_brothers,,,,,,,,,,,,,,,,,,italian,,,,,,,,
Cassandra,Waldon,bbus1,united_states,regular,,,,1,2000,37,thirties,libra,female,black,no,,,un_communications_director,government,no,no,havre_de_grace,md,1,,1,,,,,,no,no,,6,writing,,,,james_bond,,,,,,,,,,,,,,,,,,mexican,,,,,,,,
Brittany,Petros,bbus1,united_states,regular,,,,1,2000,25,twenties,virgo,female,white,no,,,actress,entertainment,no,no,robbinsdale,mn,1,,2,,,,,,no,no,,7,traveling,,,,dangerous_liaisons,,,,,,wakeboarding,,,,,,,,,,,,mexican,,,,,,,,
Karen,Fowler,bbus1,united_states,regular,,,,1,2000,43,fourties,virgo,female,white,no,,,mother,parent,no,no,columbus,in,1,,4,,,,,,no,no,,8,exercising,,,,as_good_as_it_gets,jim_carrey,,,,,swimming,,,,,,,,,,,,,,,,,,,,
Jean,Jordan,bbus1,united_states,regular,,,,1,2000,26,twenties,leo,female,white,no,,,exotic_dancer,entertainment,no,no,roanoke,va,1,,3,,,,,,no,no,,9,outdoor_activities,,,,documentaries,,,,,,,,,,,,,,,,,,,,,,,,,,
William,Collins,bbus1,united_states,regular,,,,1,2000,27,twenties,leo,male,black,no,,,politician,government,no,no,philadelphia,pa,1,,10,,,,,,no,no,,10,chess,,,,the_matrix,,,,,,basketball,,,,,,,,,,,,philly_cheesesteak,,,,,,,,
Will,Kirby,bbus2,united_states,regular,,,,2,2001,28,twenties,capricorn,male,white,no,,,physician,health,no,no,tallahassee,fl,1,,12,,,no,no,no,no,no,finalist,1,,be desireless be excellent be gone,steve_austin,boy_meets_world,fight_club,,,,weezer,gq,watersports,black,,,,,,,,,,,sashimi,,,,,,,,
Nicole,Schaffrich,bbus2,united_states,regular,,,,2,2001,31,thirties,aquarius,female,white,no,,,personal_chef,food,no,no,atlanta,ga,1,,1,,,no,no,no,no,no,finalist,2,,believe and respect yourself and those who deserve it,be_your_own_hero,the_practice,the_exorcist,,,,pink_floyd,rolling_stone,volleyball,blue,,,,,,,,,,,vegan,,,,,,,,
Monica,Bailey,bbus2,united_states,regular,,,,2,2001,40,fourties,cancer,female,black,no,,,candy_store_manager,management,no,no,brooklyn,ny,1,,3,,,no,no,no,no,no,yes,3,,dont think of life as under pressure think of it as being interesting and fabulous,niece,will_and_grace,city_of_angels,,,,patti_labelle,good_housekeeping,softball,orange,,,,,,,,,,,soul,,,,,,,,
Hardy,Ames-Hill,bbus2,united_states,regular,,,,2,2001,31,thirties,taurus,male,white,no,,,bouncer,security,no,no,york,pa,1,,4,,,no,no,yes,no,no,yes,4,,do today what others wont so tomorrow you can do what other cant,grandfather,drew_carey,american_beauty,,,rock_alternative,the_verve,entertainment_weekly,football,orange,,,,,,,,,,,chicken,,,,,,,,
Bunky,Miller,bbus2,united_states,regular,,,,2,2001,37,thirties,virgo,male,white,no,,,technical_writer,arts,gay,no,harrisburg,nc,1,,5,,,no,no,no,no,no,yes,5,,create your own reality go with the flow and flow with the flux live and let live,bill_goldberg,will_and_grace,top_gun,,,,ricky_martin,wcw,professional_wrestling,purple,,,,,,,,,,,potatoes,,,,,,,,
Krista,Stegall,bbus2,united_states,regular,,,,2,2001,28,twenties,cancer,female,white,no,,,waitress,food,no,no,opelousas,la,1,,6,,,no,yes,no,no,no,yes,6,,always strive for the best... never settle for less,mom,the_real_world,braveheart,,,,bush,,football,blue,,,,,,,,,,,crawfish,,,,,,,,
